Route,Year,Month,Missed_Trips,Compliance_Rate,Scheduled_Trips,Weekdays,WeekdayTrips,Saturdays,SaturdayTrips,SundayHolidays,SundayHolidayTrips,,,,,,,,,,,
1,2023,1,37,0.98666186,2774,22,2332,4,232,5,210,,,,,,,,,,,
1,2023,2,92,0.963492063,2520,20,2120,4,232,4,168,,,,,,,,,,,
1,2023,3,59,0.979210712,2838,23,2438,4,232,4,168,,,,,,,,,,,
1,2023,4,1,0.999608764,2556,19,2014,5,290,6,252,,,,,,,,,,,
1,2023,5,3,0.998918529,2774,22,2332,4,232,5,210,,,,,,,,,,,
1,2023,6,2,0.999250375,2668,21,2226,4,232,5,210,,,,,,,,,,,
1,2023,7,1,0.999633162,2726,21,2226,5,290,5,210,,,,,,,,,,,
1,2023,8,31,0.989076815,2838,23,2438,4,232,4,168,,,,,,,,,,,
1,2023,9,6,0.997751124,2668,21,2226,4,232,5,210,,,,,,,,,,,
1,2023,10,2,0.999279019,2774,22,2332,4,232,5,210,,,,,,,,,,,
1,2023,11,2,0.999250375,2668,21,2226,4,232,5,210,,,,,,,,,,,
1,2023,12,1,0.999624343,2662,20,2120,5,290,6,252,,,,,,,,,,,
1,2024,1,10,0.996395097,2774,22,2332,4,232,5,210,,,,,,,,,,,
1,2024,2,28,0.989337395,2626,21,2226,4,232,4,168,,,,,,,,,,,
1,2024,3,1,0.999633162,2726,21,2226,5,290,5,210,,,,,,,,,,,
1,2024,4,17,0.993628186,2668,21,2226,4,232,5,210,,,,,,,,,,,
1,2024,5,5,0.998197549,2774,22,2332,4,232,5,210,,,,,,,,,,,
1,2024,6,18,0.993129771,2620,20,2120,5,290,5,210,,,,,,,,,,,
1,2024,7,6,0.997885835,2838,23,2438,4,232,4,168,,,,,,,,,,,
1,2024,8,19,0.993150685,2774,22,2332,4,232,5,210,,,,,,,,,,,
1,2024,9,5,0.998125937,2668,21,2226,4,232,5,210,,,,,,,,,,,
1,2024,10,15,0.994714588,2838,23,2438,4,232,4,168,,,,,,,,,,,
1,2024,11,10,0.996183206,2620,20,2120,5,290,5,210,,,,,,,,,,,
1,2024,12,36,0.986793837,2726,21,2226,5,290,5,210,,,,,,,,,,,
2,2023,1,391,0.925353188,5238,22,4796,4,232,5,210,,,,,,,,,,,
2,2023,2,605,0.87289916,4760,20,4360,4,232,4,168,,,,,,,,,,,
2,2023,3,12,0.997783524,5414,23,5014,4,232,4,168,,,,,,,,,,,
2,2023,4,35,0.992527754,4684,19,4142,5,290,6,252,,,,,,,,,,,
2,2023,5,13,0.997518137,5238,22,4796,4,232,5,210,,,,,,,,,,,
2,2023,6,30,0.994023904,5020,21,4578,4,232,5,210,,,,,,,,,,,
2,2023,7,55,0.989168964,5078,21,4578,5,290,5,210,,,,,,,,,,,
2,2023,8,42,0.992242335,5414,23,5014,4,232,4,168,,,,,,,,,,,
2,2023,9,45,0.991035857,5020,21,4578,4,232,5,210,,,,,,,,,,,
2,2023,10,18,0.996563574,5238,22,4796,4,232,5,210,,,,,,,,,,,
2,2023,11,2,0.999601594,5020,21,4578,4,232,5,210,,,,,,,,,,,
2,2023,12,27,0.994492044,4902,20,4360,5,290,6,252,,,,,,,,,,,
2,2024,1,101,0.980717831,5238,22,4796,4,232,5,210,,,,,,,,,,,
2,2024,2,76,0.984732824,4978,21,4578,4,232,4,168,,,,,,,,,,,
2,2024,3,77,0.98483655,5078,21,4578,5,290,5,210,,,,,,,,,,,
2,2024,4,18,0.996414343,5020,21,4578,4,232,5,210,,,,,,,,,,,
2,2024,5,32,0.993890798,5238,22,4796,4,232,5,210,,,,,,,,,,,
2,2024,6,49,0.989917695,4860,20,4360,5,290,5,210,,,,,,,,,,,
2,2024,7,24,0.995567048,5414,23,5014,4,232,4,168,,,,,,,,,,,
2,2024,8,27,0.994845361,5238,22,4796,4,232,5,210,,,,,,,,,,,
2,2024,9,15,0.997011952,5020,21,4578,4,232,5,210,,,,,,,,,,,
2,2024,10,43,0.992057628,5414,23,5014,4,232,4,168,,,,,,,,,,,
2,2024,11,48,0.990123457,4860,20,4360,5,290,5,210,,,,,,,,,,,
2,2024,12,76,0.985033478,5078,21,4578,5,290,5,210,,,,,,,,,,,
3,2023,1,62,0.969397828,2026,22,1584,4,232,5,210,,,,,,,,,,,
3,2023,2,63,0.96576087,1840,20,1440,4,232,4,168,,,,,,,,,,,
3,2023,3,88,0.957198444,2056,23,1656,4,232,4,168,,,,,,,,,,,
3,2023,4,48,0.97486911,1910,19,1368,5,290,6,252,,,,,,,,,,,
3,2023,5,34,0.983218164,2026,22,1584,4,232,5,210,,,,,,,,,,,
3,2023,6,115,0.941146366,1954,21,1512,4,232,5,210,,,,,,,,,,,
3,2023,7,82,0.959244533,2012,21,1512,5,290,5,210,,,,,,,,,,,
3,2023,8,96,0.953307393,2056,23,1656,4,232,4,168,,,,,,,,,,,
3,2023,9,73,0.962640737,1954,21,1512,4,232,5,210,,,,,,,,,,,
3,2023,10,62,0.969397828,2026,22,1584,4,232,5,210,,,,,,,,,,,
3,2023,11,84,0.957011259,1954,21,1512,4,232,5,210,,,,,,,,,,,
3,2023,12,106,0.946518668,1982,20,1440,5,290,6,252,,,,,,,,,,,
3,2024,1,202,0.90029615,2026,22,1584,4,232,5,210,,,,,,,,,,,
3,2024,2,82,0.957112971,1912,21,1512,4,232,4,168,,,,,,,,,,,
3,2024,3,123,0.938866799,2012,21,1512,5,290,5,210,,,,,,,,,,,
3,2024,4,39,0.980040942,1954,21,1512,4,232,5,210,,,,,,,,,,,
3,2024,5,68,0.966436328,2026,22,1584,4,232,5,210,,,,,,,,,,,
3,2024,6,45,0.976804124,1940,20,1440,5,290,5,210,,,,,,,,,,,
3,2024,7,68,0.96692607,2056,23,1656,4,232,4,168,,,,,,,,,,,
3,2024,8,163,0.919545903,2026,22,1584,4,232,5,210,,,,,,,,,,,
3,2024,9,73,0.962640737,1954,21,1512,4,232,5,210,,,,,,,,,,,
3,2024,10,62,0.969844358,2056,23,1656,4,232,4,168,,,,,,,,,,,
3,2024,11,64,0.967010309,1940,20,1440,5,290,5,210,,,,,,,,,,,
3,2024,12,152,0.92445328,2012,21,1512,5,290,5,210,,,,,,,,,,,
4,2023,1,70,0.965449161,2026,22,1584,4,232,5,210,,,,,,,,,,,
4,2023,2,121,0.93423913,1840,20,1440,4,232,4,168,,,,,,,,,,,
4,2023,3,175,0.914883268,2056,23,1656,4,232,4,168,,,,,,,,,,,
4,2023,4,124,0.935078534,1910,19,1368,5,290,6,252,,,,,,,,,,,
4,2023,5,112,0.944718657,2026,22,1584,4,232,5,210,,,,,,,,,,,
4,2023,6,130,0.933469806,1954,21,1512,4,232,5,210,,,,,,,,,,,
4,2023,7,184,0.908548708,2012,21,1512,5,290,5,210,,,,,,,,,,,
4,2023,8,220,0.892996109,2056,23,1656,4,232,4,168,,,,,,,,,,,
4,2023,9,145,0.925793245,1954,21,1512,4,232,5,210,,,,,,,,,,,
4,2023,10,145,0.928430405,2026,22,1584,4,232,5,210,,,,,,,,,,,
4,2023,11,105,0.946264074,1954,21,1512,4,232,5,210,,,,,,,,,,,
4,2023,12,217,0.890514632,1982,20,1440,5,290,6,252,,,,,,,,,,,
4,2024,1,233,0.884995064,2026,22,1584,4,232,5,210,,,,,,,,,,,
4,2024,2,181,0.905334728,1912,21,1512,4,232,4,168,,,,,,,,,,,
4,2024,3,177,0.912027833,2012,21,1512,5,290,5,210,,,,,,,,,,,
4,2024,4,137,0.92988741,1954,21,1512,4,232,5,210,,,,,,,,,,,
4,2024,5,206,0.898321816,2026,22,1584,4,232,5,210,,,,,,,,,,,
4,2024,6,215,0.889175258,1940,20,1440,5,290,5,210,,,,,,,,,,,
4,2024,7,128,0.937743191,2056,23,1656,4,232,4,168,,,,,,,,,,,
4,2024,8,184,0.909180652,2026,22,1584,4,232,5,210,,,,,,,,,,,
4,2024,9,103,0.947287615,1954,21,1512,4,232,5,210,,,,,,,,,,,
4,2024,10,79,0.961575875,2056,23,1656,4,232,4,168,,,,,,,,,,,
4,2024,11,122,0.937113402,1940,20,1440,5,290,5,210,,,,,,,,,,,
4,2024,12,263,0.869284294,2012,21,1512,5,290,5,210,,,,,,,,,,,
5,2023,1,12,0.995004163,2402,22,1980,4,232,5,190,,,,,,,,,,,
5,2023,2,15,0.993131868,2184,20,1800,4,232,4,152,,,,,,,,,,,
5,2023,3,168,0.931540342,2454,23,2070,4,232,4,152,,,,,,,,,,,
5,2023,4,40,0.982046679,2228,19,1710,5,290,6,228,,,,,,,,,,,
5,2023,5,52,0.978351374,2402,22,1980,4,232,5,190,,,,,,,,,,,
5,2023,6,69,0.970155709,2312,21,1890,4,232,5,190,,,,,,,,,,,
5,2023,7,39,0.983544304,2370,21,1890,5,290,5,190,,,,,,,,,,,
5,2023,8,68,0.972290139,2454,23,2070,4,232,4,152,,,,,,,,,,,
5,2023,9,162,0.929930796,2312,21,1890,4,232,5,190,,,,,,,,,,,
5,2023,10,101,0.957951707,2402,22,1980,4,232,5,190,,,,,,,,,,,
